Country;Year;Satisfaction;Vote;Age;Education;Community;Post_Stratification_Weight
HU;2002;1;Fidesz;62;Upper secondary education completed (ISCED 3);Town or small city;0,744126494
HU;2002;0;Fidesz;47;Lower secondary education completed (ISCED 2);Town or small city;0,943449663
HU;2002;3;Fidesz;50;Lower secondary education completed (ISCED 2);Town or small city;0,943449663
HU;2002;5;Other;34;Upper secondary education completed (ISCED 3);Country village;1,192742463
HU;2002;2;Fidesz;23;Upper secondary education completed (ISCED 3);Town or small city;1,192742463
HU;2002;5;Fidesz;32;Upper secondary education completed (ISCED 3);Country village;1,192742463
HU;2002;1;Other;16;Lower secondary education completed (ISCED 2);Town or small city;1,107074074
HU;2002;NA;Fidesz;83;Less than lower secondary education (ISCED 0-1);Town or small city;1,033517824
HU;2002;0;Other;48;Upper secondary education completed (ISCED 3);Town or small city;1,156496691
HU;2002;4;Fidesz;24;Lower secondary education completed (ISCED 2);Town or small city;1,048911365
HU;2002;6;Other;17;Lower secondary education completed (ISCED 2);Town or small city;1,145513516
HU;2002;6;Fidesz;63;Upper secondary education completed (ISCED 3);Town or small city;0,769963796
HU;2002;5;Other;58;Upper secondary education completed (ISCED 3);Town or small city;0,769963796
HU;2002;0;Other;55;Upper secondary education completed (ISCED 3);Town or small city;0,637148537
HU;2002;5;Other;32;Upper secondary education completed (ISCED 3);Town or small city;1,268206938
HU;2002;8;Other;54;Upper secondary education completed (ISCED 3);Town or small city;1,156496691
HU;2002;5;Other;49;Tertiary education completed (ISCED 5-6);Town or small city;0,755990359
HU;2002;6;Other;50;Upper secondary education completed (ISCED 3);Town or small city;0,955628825
HU;2002;7;Other;35;NA;Town or small city;1,075527573
HU;2002;3;Fidesz;35;Upper secondary education completed (ISCED 3);Town or small city;0,955628825
HU;2002;6;Fidesz;19;Lower secondary education completed (ISCED 2);Town or small city;1,145513516
HU;2002;4;Other;70;Tertiary education completed (ISCED 5-6);Town or small city;0,745667813
HU;2002;7;Fidesz;66;Upper secondary education completed (ISCED 3);Town or small city;0,637148537
HU;2002;4;Other;59;Upper secondary education completed (ISCED 3);Town or small city;0,769963796
HU;2002;2;Other;34;Lower secondary education completed (ISCED 2);Country village;1,145513516
HU;2002;1;Other;41;Lower secondary education completed (ISCED 2);Country village;0,970869464
HU;2002;4;Other;29;Upper secondary education completed (ISCED 3);Country village;1,234156453
HU;2002;6;Other;28;Upper secondary education completed (ISCED 3);Country village;1,268206938
HU;2002;4;Other;22;Upper secondary education completed (ISCED 3);Country village;1,234156453
HU;2002;NA;Other;94;Lower secondary education completed (ISCED 2);Country village;1,069403272
HU;2002;1;Other;65;Less than lower secondary education (ISCED 0-1);Country village;1,069403272
HU;2002;4;Other;36;Upper secondary education completed (ISCED 3);Country village;0,955628825
HU;2002;2;Other;25;Upper secondary education completed (ISCED 3);Country village;1,234156453
HU;2002;3;Other;27;Upper secondary education completed (ISCED 3);Town or small city;1,268206938
HU;2002;6;Other;17;Lower secondary education completed (ISCED 2);Country village;1,145513516
HU;2002;2;Fidesz;20;Upper secondary education completed (ISCED 3);Country village;1,268206938
HU;2002;5;Fidesz;81;Upper secondary education completed (ISCED 3);Country village;0,769963796
HU;2002;5;Other;72;Upper secondary education completed (ISCED 3);Country village;0,637148537
HU;2002;4;Fidesz;54;Upper secondary education completed (ISCED 3);Country village;1,156496691
HU;2002;5;Other;59;Upper secondary education completed (ISCED 3);Country village;0,769963796
HU;2002;5;Other;45;Upper secondary education completed (ISCED 3);Country village;1,156496691
HU;2002;6;Other;41;Tertiary education completed (ISCED 5-6);Country village;0,78797439
HU;2002;5;Other;38;Upper secondary education completed (ISCED 3);Country village;0,924745734
HU;2002;0;Fidesz;26;Upper secondary education completed (ISCED 3);Country village;1,227222248
HU;2002;1;Fidesz;28;Lower secondary education completed (ISCED 2);Country village;1,108493914
HU;2002;NA;Other;16;Lower secondary education completed (ISCED 2);Country village;1,108493914
HU;2002;2;Fidesz;22;Upper secondary education completed (ISCED 3);Country village;1,227222248
HU;2002;4;Fidesz;73;Upper secondary education completed (ISCED 3);Country village;0,616557785
HU;2002;NA;Other;68;Lower secondary education completed (ISCED 2);Country village;1,196068135
HU;2002;0;Other;56;Upper secondary education completed (ISCED 3);Country village;0,745080848
HU;2002;5;Fidesz;51;Upper secondary education completed (ISCED 3);Country village;0,924745734
HU;2002;7;Other;55;Lower secondary education completed (ISCED 2);Town or small city;1,033517824
HU;2002;7;Fidesz;48;Tertiary education completed (ISCED 5-6);Town or small city;0,730621956
HU;2002;6;Fidesz;41;Tertiary education completed (ISCED 5-6);Town or small city;0,761532715
HU;2002;5;Other;35;Lower secondary education completed (ISCED 2);Town or small city;0,943449663
HU;2002;7;Other;57;Upper secondary education completed (ISCED 3);Town or small city;0,615768052
HU;2002;1;Other;35;Lower secondary education completed (ISCED 2);Town or small city;0,938290467
HU;2002;5;Fidesz;20;Upper secondary education completed (ISCED 3);Town or small city;1,192742463
HU;2002;5;Other;65;Lower secondary education completed (ISCED 2);Town or small city;1,033517824
HU;2002;7;Other;64;Lower secondary education completed (ISCED 2);Town or small city;1,034843327
HU;2002;4;Fidesz;52;Lower secondary education completed (ISCED 2);Town or small city;0,93949384
HU;2002;1;Other;47;Upper secondary education completed (ISCED 3);Town or small city;1,119122146
HU;2002;5;Other;47;Lower secondary education completed (ISCED 2);Town or small city;0,944659653
HU;2002;3;Fidesz;39;Upper secondary education completed (ISCED 3);Town or small city;0,924745734
HU;2002;0;Other;21;Lower secondary education completed (ISCED 2);Town or small city;1,015013658
HU;2002;NA;Other;75;Less than lower secondary education (ISCED 0-1);Town or small city;1,034843327
HU;2002;3;Other;49;Upper secondary education completed (ISCED 3);Country village;0,923561251
HU;2002;4;Other;18;Lower secondary education completed (ISCED 2);Country village;1,107074074
HU;2002;8;Other;73;Lower secondary education completed (ISCED 2);Country village;1,033517824
HU;2002;NA;Other;71;Lower secondary education completed (ISCED 2);Country village;1,033517824
HU;2002;NA;Other;60;Less than lower secondary education (ISCED 0-1);Country village;1,033517824
HU;2002;3;Fidesz;60;Upper secondary education completed (ISCED 3);Country village;0,744126494
HU;2002;1;Other;51;Upper secondary education completed (ISCED 3);Country village;1,117688692
HU;2002;0;Other;45;Upper secondary education completed (ISCED 3);Country village;0,923561251
HU;2002;8;Fidesz;40;Tertiary education completed (ISCED 5-6);Country village;0,730621956
HU;2002;4;Other;47;Tertiary education completed (ISCED 5-6);Country village;0,993779369
HU;2002;NA;Other;61;Upper secondary education completed (ISCED 3);Country village;0,971064727
HU;2002;3;Fidesz;29;Upper secondary education completed (ISCED 3);Country village;1,556496299
HU;2002;5;Other;22;Upper secondary education completed (ISCED 3);Country village;1,599440168
HU;2002;5;Other;75;Less than lower secondary education (ISCED 0-1);Country village;1,348712499
HU;2002;5;Other;69;Lower secondary education completed (ISCED 2);Country village;1,348712499
HU;2002;5;Other;61;Lower secondary education completed (ISCED 2);Country village;1,348712499
HU;2002;7;Fidesz;25;Tertiary education completed (ISCED 5-6);Country village;0,985007902
HU;2002;NA;Other;83;Less than lower secondary education (ISCED 0-1);Country village;1,041658859
HU;2002;0;Fidesz;68;Lower secondary education completed (ISCED 2);Country village;1,203945501
HU;2002;3;Other;67;Less than lower secondary education (ISCED 0-1);Country village;1,041658859
HU;2002;2;Other;47;Lower secondary education completed (ISCED 2);Town or small city;0,945681395
HU;2002;0;Fidesz;52;Lower secondary education completed (ISCED 2);Country village;0,945681395
HU;2002;4;Fidesz;49;Lower secondary education completed (ISCED 2);Country village;0,95088123
HU;2002;5;Fidesz;33;Lower secondary education completed (ISCED 2);Country village;1,02169859
HU;2002;1;Other;52;Upper secondary education completed (ISCED 3);Country village;1,45855318
HU;2002;3;Other;49;Upper secondary education completed (ISCED 3);Country village;1,205222179
HU;2002;5;Fidesz;34;NA;Country village;0,000978831
HU;2002;4;Fidesz;36;Upper secondary education completed (ISCED 3);Country village;1,45855318
HU;2002;3;Other;40;Lower secondary education completed (ISCED 2);Country village;1,224443402
HU;2002;4;Other;25;Upper secondary education completed (ISCED 3);Country village;1,556496299
HU;2002;0;Other;27;Upper secondary education completed (ISCED 3);Country village;1,556496299
HU;2002;4;Other;27;Upper secondary education completed (ISCED 3);Country village;1,556496299
HU;2002;5;Other;22;NA;Country village;0,000978831
HU;2002;5;Other;19;Upper secondary education completed (ISCED 3);Country village;1,556496299
HU;2002;2;Other;84;Less than lower secondary education (ISCED 0-1);Country village;1,348712499
HU;2002;NA;Other;70;Lower secondary education completed (ISCED 2);Country village;1,348712499
HU;2002;0;Other;66;Upper secondary education completed (ISCED 3);Country village;0,80356047
HU;2002;4;Other;38;Upper secondary education completed (ISCED 3);Country village;1,205222179
HU;2002;3;Other;55;Tertiary education completed (ISCED 5-6);Country village;0,890743445
HU;2002;4;Fidesz;54;Upper secondary education completed (ISCED 3);Country village;1,45855318
HU;2002;4;Fidesz;44;Tertiary education completed (ISCED 5-6);Country village;0,993779369
HU;2002;NA;Other;46;Tertiary education completed (ISCED 5-6);Country village;0,993779369
HU;2002;3;Fidesz;70;Upper secondary education completed (ISCED 3);A big city;0,80356047
HU;2002;6;Other;56;Tertiary education completed (ISCED 5-6);A big city;0,890743445
HU;2002;5;Fidesz;49;Tertiary education completed (ISCED 5-6);A big city;0,993779369
HU;2002;4;Other;37;Tertiary education completed (ISCED 5-6);A big city;0,993779369
HU;2002;8;Fidesz;82;Tertiary education completed (ISCED 5-6);A big city;0,890743445
HU;2002;3;Other;37;Upper secondary education completed (ISCED 3);A big city;1,45855318
HU;2002;4;Fidesz;23;Lower secondary education completed (ISCED 2);A big city;1,322868469
HU;2002;3;Other;27;Tertiary education completed (ISCED 5-6);A big city;1,275362329
HU;2002;4;Other;32;Lower secondary education completed (ISCED 2);A big city;1,322868469
HU;2002;4;Other;16;Lower secondary education completed (ISCED 2);A big city;1,322868469
HU;2002;6;Fidesz;76;Tertiary education completed (ISCED 5-6);A big city;0,890743445
HU;2002;4;Other;70;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;1;Fidesz;54;Tertiary education completed (ISCED 5-6);A big city;0,953441674
HU;2002;NA;Other;56;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;4;Other;53;Tertiary education completed (ISCED 5-6);A big city;0,993779369
HU;2002;2;Fidesz;58;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;5;Other;47;Tertiary education completed (ISCED 5-6);A big city;0,953441674
HU;2002;3;Other;25;Upper secondary education completed (ISCED 3);A big city;1,599440168
HU;2002;5;Fidesz;19;Lower secondary education completed (ISCED 2);A big city;1,322868469
HU;2002;3;Other;16;Lower secondary education completed (ISCED 2);A big city;1,322868469
HU;2002;4;Other;79;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;0;Other;69;Tertiary education completed (ISCED 5-6);Suburbs or outskirts of big city;0,940423062
HU;2002;9;Other;71;Lower secondary education completed (ISCED 2);A big city;1,348712499
HU;2002;3;Other;62;Tertiary education completed (ISCED 5-6);A big city;0,940423062
HU;2002;5;Other;25;Upper secondary education completed (ISCED 3);A big city;1,599440168
HU;2002;NA;Other;57;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;3;Other;51;Tertiary education completed (ISCED 5-6);A big city;0,993779369
HU;2002;5;Other;44;Tertiary education completed (ISCED 5-6);A big city;0,993779369
HU;2002;0;Other;36;Lower secondary education completed (ISCED 2);A big city;1,231176012
HU;2002;6;Other;38;Tertiary education completed (ISCED 5-6);A big city;0,953441674
HU;2002;3;Other;26;NA;Suburbs or outskirts of big city;0,000978831
HU;2002;6;Other;29;Upper secondary education completed (ISCED 3);A big city;1,556496299
HU;2002;3;Other;23;NA;A big city;0,000978831
HU;2002;3;Other;15;Lower secondary education completed (ISCED 2);A big city;1,444701394
HU;2002;0;Other;21;Lower secondary education completed (ISCED 2);A big city;1,444701394
HU;2002;4;Other;21;NA;A big city;0,000978831
HU;2002;5;Other;67;Upper secondary education completed (ISCED 3);A big city;0,80356047
HU;2002;5;Other;58;Tertiary education completed (ISCED 5-6);A big city;0,940423062
HU;2002;6;Other;57;Lower secondary education completed (ISCED 2);A big city;1,348712499
HU;2002;5;Other;60;Tertiary education completed (ISCED 5-6);A big city;0,940423062
HU;2002;3;Fidesz;51;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;4;Other;44;Lower secondary education completed (ISCED 2);A big city;1,224443402
HU;2002;5;Fidesz;44;Upper secondary education completed (ISCED 3);A big city;1,45855318
HU;2002;1;Other;45;Lower secondary education completed (ISCED 2);A big city;1,231176012
HU;2002;0;Other;63;Tertiary education completed (ISCED 5-6);A big city;0,890743445
HU;2002;3;Other;51;Upper secondary education completed (ISCED 3);A big city;1,45855318
HU;2002;4;Other;37;Upper secondary education completed (ISCED 3);A big city;1,45855318
HU;2002;3;Other;24;Tertiary education completed (ISCED 5-6);A big city;1,275362329
HU;2002;6;Other;21;Upper secondary education completed (ISCED 3);A big city;1,556496299
HU;2002;5;Other;88;Lower secondary education completed (ISCED 2);A big city;1,348712499
HU;2002;5;Fidesz;48;Tertiary education completed (ISCED 5-6);A big city;0,953441674
HU;2002;7;Fidesz;27;Upper secondary education completed (ISCED 3);A big city;1,556496299
HU;2002;2;Other;18;Lower secondary education completed (ISCED 2);A big city;1,444701394
HU;2002;3;Fidesz;22;Upper secondary education completed (ISCED 3);A big city;1,599440168
HU;2002;7;Other;25;Upper secondary education completed (ISCED 3);A big city;1,556496299
HU;2002;NA;Other;88;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;4;Other;53;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;9;Other;54;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;2;Other;45;Tertiary education completed (ISCED 5-6);A big city;0,993779369
HU;2002;2;Other;48;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;3;Other;35;Upper secondary education completed (ISCED 3);A big city;1,45855318
HU;2002;6;Other;30;Upper secondary education completed (ISCED 3);A big city;1,599440168
HU;2002;6;Other;30;Tertiary education completed (ISCED 5-6);A big city;1,290590003
HU;2002;5;Other;24;Upper secondary education completed (ISCED 3);A big city;1,556496299
HU;2002;NA;Other;19;Lower secondary education completed (ISCED 2);A big city;1,444701394
HU;2002;9;Other;16;Lower secondary education completed (ISCED 2);A big city;1,322868469
HU;2002;7;Other;20;Lower secondary education completed (ISCED 2);A big city;1,444701394
HU;2002;7;Other;76;Tertiary education completed (ISCED 5-6);A big city;0,890743445
HU;2002;5;Other;75;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;7;Other;72;Upper secondary education completed (ISCED 3);A big city;0,80356047
HU;2002;7;Other;77;Lower secondary education completed (ISCED 2);A big city;1,558836976
HU;2002;2;Other;58;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;1;Other;58;Tertiary education completed (ISCED 5-6);A big city;0,940423062
HU;2002;8;Other;60;Lower secondary education completed (ISCED 2);A big city;1,348712499
HU;2002;6;Other;52;Lower secondary education completed (ISCED 2);A big city;1,224443402
HU;2002;NA;Other;50;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;3;Fidesz;52;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;5;Other;41;Upper secondary education completed (ISCED 3);A big city;1,45855318
HU;2002;6;Fidesz;34;Upper secondary education completed (ISCED 3);A big city;1,599440168
HU;2002;7;Other;35;Tertiary education completed (ISCED 5-6);A big city;0,993779369
HU;2002;6;Other;36;Tertiary education completed (ISCED 5-6);A big city;0,993779369
HU;2002;7;Other;17;Lower secondary education completed (ISCED 2);A big city;1,444701394
HU;2002;4;Other;21;NA;A big city;0,000978831
HU;2002;NA;Other;58;Less than lower secondary education (ISCED 0-1);A big city;1,558836976
HU;2002;4;Other;42;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;3;Other;36;Upper secondary education completed (ISCED 3);A big city;1,45855318
HU;2002;NA;Other;27;Upper secondary education completed (ISCED 3);A big city;1,599440168
HU;2002;0;Other;25;Less than lower secondary education (ISCED 0-1);A big city;1,322868469
HU;2002;3;Other;27;Upper secondary education completed (ISCED 3);A big city;1,556496299
HU;2002;0;Other;25;Upper secondary education completed (ISCED 3);A big city;1,556496299
HU;2002;4;Other;21;NA;A big city;1,200634923
HU;2002;7;Other;18;Lower secondary education completed (ISCED 2);A big city;1,444701394
HU;2002;3;Other;75;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;NA;Other;75;Upper secondary education completed (ISCED 3);Suburbs or outskirts of big city;0,971064727
HU;2002;3;Other;66;Tertiary education completed (ISCED 5-6);Suburbs or outskirts of big city;0,890743445
HU;2002;3;Other;60;Tertiary education completed (ISCED 5-6);A big city;0,890743445
HU;2002;2;Other;49;Upper secondary education completed (ISCED 3);A big city;1,45855318
HU;2002;4;Other;50;Tertiary education completed (ISCED 5-6);A big city;0,993779369
HU;2002;6;Other;50;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;8;Other;35;Tertiary education completed (ISCED 5-6);A big city;0,993779369
HU;2002;6;Other;40;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;5;Other;40;Tertiary education completed (ISCED 5-6);A big city;0,953441674
HU;2002;4;Other;29;Tertiary education completed (ISCED 5-6);A big city;1,275362329
HU;2002;6;Fidesz;31;Tertiary education completed (ISCED 5-6);A big city;1,275362329
HU;2002;NA;Other;17;Lower secondary education completed (ISCED 2);A big city;1,322868469
HU;2002;5;Other;69;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;2;Other;65;Lower secondary education completed (ISCED 2);A big city;1,558836976
HU;2002;2;Other;65;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;3;Other;62;Upper secondary education completed (ISCED 3);A big city;0,80356047
HU;2002;3;Other;60;Tertiary education completed (ISCED 5-6);A big city;0,890743445
HU;2002;3;Fidesz;56;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;7;Other;57;Tertiary education completed (ISCED 5-6);A big city;0,940423062
HU;2002;NA;Other;48;NA;Suburbs or outskirts of big city;1,275454434
HU;2002;4;Fidesz;35;Upper secondary education completed (ISCED 3);Suburbs or outskirts of big city;1,205222179
HU;2002;3;Fidesz;39;Tertiary education completed (ISCED 5-6);A big city;0,953441674
HU;2002;4;Other;28;Upper secondary education completed (ISCED 3);A big city;1,599440168
HU;2002;5;Other;32;NA;Town or small city;0,000978831
HU;2002;6;Fidesz;26;Tertiary education completed (ISCED 5-6);A big city;1,290590003
HU;2002;4;Other;78;Tertiary education completed (ISCED 5-6);A big city;0,890743445
HU;2002;2;Fidesz;80;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;2;Fidesz;49;Tertiary education completed (ISCED 5-6);A big city;0,993779369
HU;2002;3;Fidesz;50;Tertiary education completed (ISCED 5-6);A big city;0,993779369
HU;2002;3;Other;36;Tertiary education completed (ISCED 5-6);A big city;0,953441674
HU;2002;3;Other;26;Upper secondary education completed (ISCED 3);A big city;1,556496299
HU;2002;7;Other;27;NA;A big city;0,000978831
HU;2002;7;Other;28;Tertiary education completed (ISCED 5-6);A big city;1,290590003
HU;2002;4;Other;20;Upper secondary education completed (ISCED 3);A big city;1,599440168
HU;2002;7;Other;17;Lower secondary education completed (ISCED 2);A big city;1,444701394
HU;2002;6;Other;88;Less than lower secondary education (ISCED 0-1);A big city;1,348712499
HU;2002;3;Other;75;NA;A big city;1,180986781
HU;2002;8;Other;80;Less than lower secondary education (ISCED 0-1);A big city;1,348712499
HU;2002;5;Other;82;Less than lower secondary education (ISCED 0-1);A big city;1,348712499
HU;2002;5;Other;71;Lower secondary education completed (ISCED 2);A big city;1,558836976
HU;2002;4;Fidesz;72;Tertiary education completed (ISCED 5-6);A big city;0,890743445
HU;2002;4;Fidesz;62;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;7;Other;54;Tertiary education completed (ISCED 5-6);A big city;0,953441674
HU;2002;8;Other;61;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;5;Fidesz;54;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;5;Other;49;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;4;Other;74;Lower secondary education completed (ISCED 2);A big city;1,348712499
HU;2002;3;Other;81;Lower secondary education completed (ISCED 2);A big city;1,348712499
HU;2002;2;Fidesz;65;Upper secondary education completed (ISCED 3);A big city;0,80356047
HU;2002;5;Fidesz;64;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;5;Other;72;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;5;Other;70;Lower secondary education completed (ISCED 2);A big city;1,348712499
HU;2002;6;Other;58;Upper secondary education completed (ISCED 3);A big city;0,971064727
HU;2002;5;Other;53;Tertiary education completed (ISCED 5-6);A big city;0,953441674
HU;2002;4;Other;53;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;2;Fidesz;60;Tertiary education completed (ISCED 5-6);A big city;0,940423062
HU;2002;3;Other;43;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;4;Other;44;Upper secondary education completed (ISCED 3);A big city;1,205222179
HU;2002;7;Other;35;Tertiary education completed (ISCED 5-6);A big city;0,993779369
HU;2002;4;Fidesz;24;Tertiary education completed (ISCED 5-6);A big city;1,275362329
